Participant ID,Video file,Gloss,ASL-LEX Code
P1,0_15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,1_15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,2_15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,3_15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,4_15890366051589533-APPLE.mp4,APPLE,A_03_054
P1,0_35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,1_35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,2_35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,3_35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,4_35618482303951104-IMPOSSIBLE.mp4,IMPOSSIBLE,B_01_032
P1,0_8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,1_8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,2_8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,3_8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,4_8006032738002744-SOCCER 2.mp4,SOCCER2,F_03_032
P1,0_37542279833186454-STINK.mp4,STINK,H_01_064
P1,1_37542279833186454-STINK.mp4,STINK,H_01_064
P1,2_37542279833186454-STINK.mp4,STINK,H_01_064
P1,3_37542279833186454-STINK.mp4,STINK,H_01_064
P1,4_37542279833186454-STINK.mp4,STINK,H_01_064
P1,0_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,1_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,2_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,3_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,4_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,0_9618808117704574-HUG.mp4,HUG,G_02_036
P1,1_9618808117704574-HUG.mp4,HUG,G_02_036
P1,2_9618808117704574-HUG.mp4,HUG,G_02_036
P1,3_9618808117704574-HUG.mp4,HUG,G_02_036
P1,4_9618808117704574-HUG.mp4,HUG,G_02_036
P1,0_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,1_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,2_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,3_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,4_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,0_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,1_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,2_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,3_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,4_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,0_14154575310664197-NICE.mp4,NICE,G_03_059
P1,1_14154575310664197-NICE.mp4,NICE,G_03_059
P1,2_14154575310664197-NICE.mp4,NICE,G_03_059
P1,3_14154575310664197-NICE.mp4,NICE,G_03_059
P1,4_14154575310664197-NICE.mp4,NICE,G_03_059
P1,0_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,1_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,2_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,3_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,4_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,0_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,1_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,2_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,3_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,4_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,0_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,1_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,2_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,3_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,4_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,0_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,1_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,2_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
