Participant ID,Video file,Gloss,ASL-LEX Code
P1,0_37542279833186454-STINK.mp4,STINK,H_01_064
P1,1_37542279833186454-STINK.mp4,STINK,H_01_064
P1,2_37542279833186454-STINK.mp4,STINK,H_01_064
P1,3_37542279833186454-STINK.mp4,STINK,H_01_064
P1,4_37542279833186454-STINK.mp4,STINK,H_01_064
P1,0_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,1_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,2_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,3_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,4_9498964909837952-ROSE.mp4,ROSE,G_03_024
P1,0_9618808117704574-HUG.mp4,HUG,G_02_036
P1,1_9618808117704574-HUG.mp4,HUG,G_02_036
P1,2_9618808117704574-HUG.mp4,HUG,G_02_036
P1,3_9618808117704574-HUG.mp4,HUG,G_02_036
P1,4_9618808117704574-HUG.mp4,HUG,G_02_036
P1,0_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,1_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,2_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,3_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,4_15543213389651633-TUBE.mp4,TUBE,G_03_042
P1,0_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,1_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,2_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,3_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,4_9162908944303221-COUNT.mp4,COUNT,G_02_054
P1,0_14154575310664197-NICE.mp4,NICE,G_03_059
P1,1_14154575310664197-NICE.mp4,NICE,G_03_059
P1,2_14154575310664197-NICE.mp4,NICE,G_03_059
P1,3_14154575310664197-NICE.mp4,NICE,G_03_059
P1,4_14154575310664197-NICE.mp4,NICE,G_03_059
P1,0_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,1_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,2_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,3_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,4_996512226187074-EASY TO_DO.mp4,EASYTODO,G_02_073
P1,0_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,1_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,2_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,3_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,4_0033742275375785447-INFLUENCE.mp4,INFLUENCE,H_02_031
P1,0_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,1_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,2_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,3_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,4_02808154918358552-PEACOCK.mp4,PEACOCK,G_02_088
P1,0_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,1_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,2_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,3_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,4_8068093518563271-CIRCUSWHEEL.mp4,CIRCUSWHEEL,H_02_065
P1,0_6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,1_6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,2_6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,3_6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,4_6652814499755777-NOSE.mp4,NOSE,G_03_075
P1,0_20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,1_20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,2_20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,3_20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,4_20880000068819649-WEAVE.mp4,WEAVE,H_02_081
P1,0_13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,1_13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,2_13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,3_13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,4_13621431540213602-SMOOTH.mp4,SMOOTH,H_02_101
P1,0_16994877911771145-WE.mp4,WE,G_03_019
P1,1_16994877911771145-WE.mp4,WE,G_03_019
P1,2_16994877911771145-WE.mp4,WE,G_03_019
P1,3_16994877911771145-WE.mp4,WE,G_03_019
P1,4_16994877911771145-WE.mp4,WE,G_03_019
P1,0_7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,1_7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,2_7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,3_7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,4_7090729284366466-DOWNHILL.mp4,DOWNHILL,H_03_012
P1,0_19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,1_19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,2_19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,3_19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,4_19003684436528423-JUICE 2.mp4,JUICE1,G_03_035
P1,0_8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,1_8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,2_8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,3_8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,4_8221969382671432-SCOLD.mp4,SCOLD,H_01_008
P1,0_12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,1_12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,2_12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,3_12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,4_12338257144617781-POWDER.mp4,POWDER,H_01_026
P1,0_7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,1_7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,2_7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,3_7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,4_7316392299762329-WATERDROP.mp4,WATERDROP,H_01_019
P1,0_9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,1_9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,2_9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,3_9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,4_9060451576078816-COOL 3.mp4,COOL3,H_03_099
P1,0_03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,1_03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,2_03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,3_03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,4_03909340585346133-FASHION.mp4,FASHION,J_01_010
P1,0_34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,1_34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,2_34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,3_34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,4_34318091362618364-BECOME.mp4,BECOME,H_02_008
P1,0_001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,1_001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,2_001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,3_001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,4_001428415918161674-IMPROVE.mp4,IMPROVE,H_02_003
P1,0_5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,1_5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,2_5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,3_5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,4_5266228840785678-UNCERTAIN.mp4,UNCERTAIN,H_02_020
P1,0_1676037390807208-GREET.mp4,GREET1,J_01_042
P1,1_1676037390807208-GREET.mp4,GREET1,J_01_042
P1,2_1676037390807208-GREET.mp4,GREET1,J_01_042
P1,3_1676037390807208-GREET.mp4,GREET1,J_01_042
P1,4_1676037390807208-GREET.mp4,GREET1,J_01_042
P1,0_6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,1_6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,2_6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,3_6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,4_6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P1,0_23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,1_23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,2_23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,3_23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,4_23746553103054158-PRECIOUS.mp4,PRECIOUS,H_02_071
P1,0_7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,1_7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,2_7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,3_7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,4_7054741400093962-WILL GO.mp4,WILLGO,J_01_095
P1,0_6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,1_6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,2_6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,3_6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,4_6490408879992484-LAY DOWN.mp4,LAYDOWN,J_02_004
P1,0_6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,1_6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,2_6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,3_6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,4_6585783944135442-EXPERIMENT.mp4,EXPERIMENT,H_03_002
P1,0_7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,1_7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,2_7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,3_7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,4_7721480534101262-EVERY NIGHT.mp4,EVERYNIGHT,J_02_058
P1,0_2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,1_2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,2_2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,3_2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,4_2911495969703426-GET TOGETHER.mp4,GETTOGETHER,J_02_073
P1,0_7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,1_7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,2_7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,3_7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,4_7054386695414354-STORY 3.mp4,STORY1,H_03_007
P1,0_7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,1_7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,2_7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,3_7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,4_7958435331951532-REMOVE.mp4,REMOVE,J_02_092
P1,0_44178831586926837-MOSQUITO.mp4,MOSQUITO,H_03_053
P1,1_44178831586926837-MOSQUITO.mp4,MOSQUITO,H_03_053
